"","id","team1","team2","season","city","win_by_runs","win_by_wickets","t1ha","t2ha","t1tw","t2tw","t1twbf","t1twff","t2twbf","t2twff","team1tm","team1mw","team1wp","team1wr","team1rs","team1rspi","team1w","team1wpi","team2tm","team2mw","team2wp","team2wr","team2rs","team2rspi","team2w","team2wpi","winner"
"293",330,"Rajasthan Royals","Kolkata Knight Riders",2013,"Jaipur",19,0,1,0,0,1,0,0,-1,1,118,63,53.3898305084746,55,17703,151,704,6,132,68,51.5151515151515,64,19481,148,762,6,0
"138",331,"Mumbai Indians","Delhi Daredevils",2013,"Mumbai",44,0,1,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,133,56,42.1052631578947,77,19734,149,753,6,0
"28",332,"Kings XI Punjab","Chennai Super Kings",2013,"Chandigarh",0,10,0,0,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,131,79,60.3053435114504,52,20899,160,820,7,1
"537",333,"Kolkata Knight Riders","Royal Challengers Bangalore",2013,"Bangalore",0,8,0,1,0,1,0,0,-1,1,132,68,51.5151515151515,64,19481,148,762,6,139,70,50.3597122302158,69,21591,156,804,6,1
"388",334,"Rajasthan Royals","Pune Warriors",2013,"Pune",0,7,0,1,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,46,12,26.0869565217391,34,6358,139,238,6,1
"553",335,"Delhi Daredevils","Sunrisers Hyderabad",2013,"Delhi",0,3,1,0,1,0,1,-1,0,0,133,56,42.1052631578947,77,19734,149,753,6,62,34,54.8387096774194,28,9303,151,364,6,1
"387",336,"Mumbai Indians","Pune Warriors",2013,"Mumbai",41,0,1,0,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,46,12,26.0869565217391,34,6358,139,238,6,0
"27",337,"Royal Challengers Bangalore","Chennai Super Kings",2013,"Chennai",0,4,0,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,131,79,60.3053435114504,52,20899,160,820,7,1
"576",338,"Kolkata Knight Riders","Sunrisers Hyderabad",2013,"Kolkata",48,0,1,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,62,34,54.8387096774194,28,9303,151,364,6,0
"456",339,"Kings XI Punjab","Rajasthan Royals",2013,"Jaipur",0,6,0,1,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,118,63,53.3898305084746,55,17703,151,704,6,1
"13",340,"Pune Warriors","Chennai Super Kings",2013,"Chennai",24,0,0,0,1,0,1,-1,0,0,46,12,26.0869565217391,34,6358,139,238,6,131,79,60.3053435114504,52,20899,160,820,7,0
"247",341,"Kings XI Punjab","Kolkata Knight Riders",2013,"Chandigarh",4,0,0,0,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,132,68,51.5151515151515,64,19481,148,762,6,0
"520",342,"Delhi Daredevils","Royal Challengers Bangalore",2013,"Bangalore",0,0,0,1,0,1,0,0,-1,1,133,56,42.1052631578947,77,19734,149,753,6,139,70,50.3597122302158,69,21591,156,804,6,1
"381",343,"Sunrisers Hyderabad","Pune Warriors",2013,"Pune",11,0,0,1,0,1,0,0,-1,1,62,34,54.8387096774194,28,9303,151,364,6,46,12,26.0869565217391,34,6358,139,238,6,0
"331",344,"Rajasthan Royals","Mumbai Indians",2013,"Jaipur",87,0,1,0,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,140,80,57.1428571428571,60,21721,156,844,7,0
"142",345,"Chennai Super Kings","Delhi Daredevils",2013,"Delhi",86,0,0,1,1,0,1,-1,0,0,131,79,60.3053435114504,52,20899,160,820,7,133,56,42.1052631578947,77,19734,149,753,6,0
"568",346,"Kings XI Punjab","Sunrisers Hyderabad",2013,"Hyderabad",0,5,0,1,1,0,1,-1,0,0,134,63,47.0149253731343,71,20861,156,761,6,62,34,54.8387096774194,28,9303,151,364,6,1
"41",347,"Kolkata Knight Riders","Chennai Super Kings",2013,"Kolkata",0,4,1,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,131,79,60.3053435114504,52,20899,160,820,7,1
"497",348,"Rajasthan Royals","Royal Challengers Bangalore",2013,"Bangalore",0,7,0,1,0,1,0,0,-1,1,118,63,53.3898305084746,55,17703,151,704,6,139,70,50.3597122302158,69,21591,156,804,6,1
"150",349,"Mumbai Indians","Delhi Daredevils",2013,"Delhi",0,9,0,1,1,0,1,-1,0,0,140,80,57.1428571428571,60,21721,156,844,7,133,56,42.1052631578947,77,19734,149,753,6,1
"175",350,"Pune Warriors","Kings XI Punjab",2013,"Chandigarh",0,7,0,0,0,1,0,0,-1,1,46,12,26.0869565217391,34,6358,139,238,6,134,63,47.0149253731343,71,20861,156,761,6,1
"40",351,"Rajasthan Royals","Chennai Super Kings",2013,"Chennai",0,5,0,0,1,0,1,-1,0,0,118,63,53.3898305084746,55,17703,151,704,6,131,79,60.3053435114504,52,20899,160,820,7,1
"386",352,"Royal Challengers Bangalore","Pune Warriors",2013,"Bangalore",130,0,1,0,0,1,0,0,-1,1,139,70,50.3597122302158,69,21591,156,804,6,46,12,26.0869565217391,34,6358,139,238,6,0
"105",353,"Kings XI Punjab","Delhi Daredevils",2013,"Dharamsala",7,0,0,0,0,1,0,0,-1,1,134,63,47.0149253731343,71,20861,156,761,6,133,56,42.1052631578947,77,19734,149,753,6,0
"337",354,"Kolkata Knight Riders","Mumbai Indians",2013,"Kolkata",0,5,1,0,1,0,1,-1,0,0,132,68,51.5151515151515,64,19481,148,762,6,140,80,57.1428571428571,60,21721,156,844,7,1
